time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,train/loss,train/n_updates
328,-1174.6750000000002,0.9785110000000001,9048,4,2262.0,27,,,
721,-1190.3812500000001,0.9564876250000005,18321,8,2290.125,25,,,
1105,-1185.7866666666666,0.9347658749999997,27467,12,2288.9166666666665,24,,,
1488,-1189.8243750000001,0.913006125,36629,16,2289.3125,24,,,
1864,-1196.02,0.8911679999999998,45824,20,2291.2,24,,,
2397,-1190.2795833333332,0.8696314999999997,54892,24,2287.1666666666665,22,0.0001,0.07926882058382034,1222
2968,-1174.5821428571428,0.8482921249999996,63877,28,2281.3214285714284,21,0.0001,0.09567075222730637,3469
