rollout/exploration_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,train/loss,train/n_updates,train/learning_rate
0.05,18,2130.93,-88.80380000000001,248,531950,29156,0.05543171241879463,832987,0.0001
0.05,18,2131.96,-88.09949999999999,252,540520,29545,0.05790508911013603,835129,0.0001
0.05,18,2132.64,-86.76989999999998,256,549157,29957,0.09390643239021301,837289,0.0001
0.05,18,2132.41,-86.998,260,557693,30392,0.05089922621846199,839423,0.0001
0.05,18,2131.41,-86.24780000000001,264,566143,30824,0.07439364492893219,841535,0.0001
0.05,18,2130.86,-86.3476,268,574708,31240,0.1130983754992485,843676,0.0001
0.05,18,2130.81,-85.56700000000001,272,583246,31667,0.023640286177396774,845811,0.0001
0.05,18,2130.55,-85.00650000000002,276,591681,32081,0.0912434384226799,847920,0.0001
0.05,18,2131.9,-84.97629999999998,280,600229,32475,0.05828725919127464,850057,0.0001
0.05,18,2130.72,-84.2095,284,608727,32861,0.06967625021934509,852181,0.0001
0.05,18,2129.8,-84.3975,288,617290,33268,0.059267640113830566,854322,0.0001
0.05,18,2130.9,-84.7774,292,625864,33682,0.05867783725261688,856465,0.0001
0.05,18,2130.89,-85.48100000000001,296,634289,34081,0.06135354936122894,858572,0.0001
0.05,18,2132.25,-85.2017,300,642988,34504,0.05648437514901161,860746,0.0001
0.05,18,2132.4,-84.98549999999999,304,651532,34920,0.11636245250701904,862882,0.0001
0.05,18,2130.45,-84.46089999999998,308,660033,35340,0.050488024950027466,865008,0.0001
0.05,18,2131.21,-84.89219999999999,312,668567,35763,0.12178268283605576,867141,0.0001
0.05,18,2128.72,-84.2966,316,677033,36190,0.056489504873752594,869258,0.0001
0.05,18,2126.49,-83.80880000000003,320,685409,36605,0.029526978731155396,871352,0.0001
0.05,18,2127.66,-84.4412,324,693963,37040,0.08631379902362823,873490,0.0001
0.05,18,2128.03,-83.043,328,702419,37471,0.07182864844799042,875604,0.0001
0.05,18,2128.94,-82.89129999999999,332,710946,37916,0.016073301434516907,877736,0.0001
0.05,18,2130.3,-81.51480000000001,336,719512,38325,0.026794422417879105,879877,0.0001
0.05,18,2133.27,-81.01549999999999,340,728260,38744,0.10546276718378067,882064,0.0001
0.05,18,2132.0,-80.36099999999999,344,736677,39153,0.029439017176628113,884169,0.0001
0.05,18,2131.72,-79.8748,348,745122,39565,0.056165676563978195,886280,0.0001
0.05,18,2130.36,-79.21770000000001,352,753556,39980,0.08157491683959961,888388,0.0001
0.05,18,2128.54,-78.19099999999999,356,762011,40403,0.05510767549276352,890502,0.0001
0.05,18,2128.32,-77.88650000000001,360,770525,40825,0.028762686997652054,892631,0.0001
0.05,18,2129.08,-78.5231,364,779051,41249,0.04424585402011871,894762,0.0001
0.05,18,2129.74,-77.6671,368,787682,41665,0.052325863391160965,896920,0.0001
0.05,18,2128.79,-76.9174,372,796125,42069,0.03534417971968651,899031,0.0001
0.05,18,2131.22,-76.6882,376,804803,42468,0.0486142635345459,901200,0.0001
0.05,18,2128.53,-75.6574,380,813082,42839,0.05282123386859894,903270,0.0001
0.05,19,2128.95,-75.0574,384,821622,43234,0.0682646855711937,905405,0.0001
0.05,19,2127.45,-74.486,388,830035,43624,0.0560305081307888,907508,0.0001
0.05,19,2127.02,-73.7572,392,838566,44024,0.026429496705532074,909641,0.0001
0.05,19,2128.54,-72.7016,396,847143,44445,0.054544731974601746,911785,0.0001
0.05,19,2126.2,-72.193,400,855608,44850,0.020990099757909775,913901,0.0001
0.05,19,2124.89,-70.5253,404,864021,45246,0.07104183733463287,916005,0.0001
0.05,19,2125.49,-70.64310000000002,408,872582,45648,0.03538547083735466,918145,0.0001
0.05,19,2127.53,-70.44800000000001,412,881320,46126,0.05405471846461296,920329,0.0001
0.05,19,2128.31,-70.3879,416,889864,46578,0.04164186120033264,922465,0.0001
0.05,19,2131.39,-70.4471,420,898548,47028,0.029423564672470093,924636,0.0001
0.05,19,2130.62,-70.5852,424,907025,47443,0.062075838446617126,926756,0.0001
0.05,19,2130.6,-70.0948,428,915479,47859,0.03691580891609192,928869,0.0001
0.05,19,2132.64,-70.33570000000002,432,924210,48295,0.04205027222633362,931052,0.0001
0.05,19,2133.13,-71.08380000000001,436,932825,48726,0.027376463636755943,933206,0.0001
0.05,19,2131.27,-71.12709999999998,440,941387,49143,0.05176911503076553,935346,0.0001
0.05,19,2133.65,-71.71629999999999,444,950042,49577,0.04205659404397011,937510,0.0001
0.05,19,2134.28,-71.39989999999999,448,958550,49976,0.03809382766485214,939637,0.0001
0.05,19,2136.75,-72.786,452,967231,50395,0.018245287239551544,941807,0.0001
0.05,19,2140.67,-74.423,456,976078,50863,0.04825582727789879,944019,0.0001
0.05,19,2141.65,-73.3927,460,984690,51295,0.02006017230451107,946172,0.0001
0.05,19,2141.87,-72.2861,464,993238,51728,0.01903057098388672,948309,0.0001
