0.82,0.79,0.58,0.34,0.3,0.71,0.58,0.92,0.98,0.35,0.28,0.04  ,  -1.6915,-2.1915,-0.6915,-0.1915,-0.9623,-2.1915  ,  1401
0.94,0.9,0.89,0.83,0.89,0.76,0.95,0.72,0.99,0.87,0.08,0.23  ,  -1.5879,-2.0879,-2.0879,-0.5879,-2.0879,-2.0879  ,  1302
0.34,0.84,0.14,0.73,0.55,0.71,0.02,0.19,0.5,0.91,0.03,0.17  ,  -4.0705,-4.5705,-3.8216,-3.8501,-3.0705,-4.5705  ,  3072
0.84,0.69,0.14,0.25,0.22,0.82,0.38,0.12,0.25,0.88,0.09,0.21  ,  -2.1747,-1.8565,-1.1747,-2.6747,-0.6747,-2.6747  ,  1824
0.25,0.22,0.57,0.69,0.29,0.73,0.66,0.49,0.54,0.37,0.28,0.24  ,  -0.8384,0.1616,-0.9438,-0.7089,-0.9324,-0.7581  ,  468
0.49,0.59,0.53,0.58,0.82,0.48,0.78,0.61,0.3,0.34,0.15,0.05  ,  -2.389,-1.9949,-2.0711,-2.2238,-2.2454,-1.389  ,  1994
0.58,0.03,0.36,0.39,0.77,0.44,0.94,0.4,0.38,0.91,0.27,0.05  ,  -0.6138,-0.2758,0.3862,-1.1138,-1.1138,0.0431  ,  165
0.81,0.45,0.99,0.6,0.07,0.02,0.35,0.42,0.62,0.76,0.12,0.17  ,  -1.7117,-1.5747,-2.2117,-0.7117,-1.5228,-1.7097  ,  1420
0.91,0.82,0.84,0.77,0.97,0.85,0.78,0.81,0.81,0.86,0.13,0.1  ,  -1.4956,-1.9956,-1.0313,-1.9956,-0.4956,-1.0871  ,  1211
0.85,0.53,0.69,0.11,0.77,0.21,0.44,0.8,0.94,0.39,0.21,0.1  ,  -1.1304,-1.6304,-0.1304,-0.8974,-0.1304,-1.6304  ,  821
0.71,0.88,0.58,0.54,0.6,0.29,0.68,0.42,0.66,0.77,0.29,0.09  ,  -2.0037,-1.5652,-1.0037,-1.4743,-1.6237,-1.5514  ,  1681
0.45,0.33,0.59,0.84,0.28,0.9,0.11,0.3,0.15,0.94,0.18,0.14  ,  -0.5962,-0.3518,-0.5219,-1.0962,0.4038,-1.0962  ,  140
0.27,0.94,0.09,0.84,0.8,0.07,0.9,0.79,0.77,0.83,0.12,0.09  ,  -2.3851,-2.8851,-1.7315,-1.7921,-2.8851,-1.3851  ,  1991
0.18,0.62,0.44,0.66,0.36,0.18,0.57,0.63,0.86,0.2,0.19,0.13  ,  -1.4071,-0.8924,-1.0466,-0.4071,-1.0979,-1.9071  ,  1121
0.35,0.94,0.38,0.48,0.65,0.5,0.23,0.3,0.54,0.57,0.1,0.29  ,  -0.6796,-1.1796,-0.4076,-0.3425,0.3204,-0.536  ,  257
