0,1,1,0.18,0.15
1,1,1,0.2,0.09
2,1,1,0.23,0.03
3,1,1,0.24,0.09
4,1,1,0.2,0.09
5,1,1,0.25,0.03
6,1,1,0.15,0.09
7,1,1,0.18,0.03
8,1,1,0.21,0.09
9,1,1,0.23,0.09
10,1,1,0.21,0.03
11,1,1,0.2,0.15
12,1,1,0.24,0.15
13,1,1,0.22,0.09
14,1,1,0.19,0.06
15,1,1,0.19,0.06
16,1,1,0.23,0.03
17,1,1,0.2,0.12
18,1,1,0.2,0.03
19,1,1,0.2,0.12
20,1,1,0.24,0.09
21,1,1,0.23,0.03
22,1,1,0.2,0.03
23,1,1,0.23,0.09
24,1,1,0.2,0.03
25,1,1,0.2,0.12
26,1,1,0.21,0.15
27,1,1,0.21,0.09
28,1,1,0.23,0.15
29,1,1,0.28,0.03
30,1,1,0.21,0.09
31,1,1,0.22,0.09
32,1,1,0.22,0.15
33,1,1,0.24,0.06
34,1,1,0.2,0.09
35,1,1,0.2,0.12
36,1,1,0.26,0.06
37,1,1,0.24,0.03
38,1,1,0.22,0.03
39,1,1,0.22,0.03
40,1,1,0.21,0.03
41,1,1,0.22,0.06
42,1,1,0.2,0.09
43,1,1,0.23,0.03
44,1,1,0.21,0.03
45,1,1,0.2,0.15
46,1,1,0.21,0.12
47,1,1,0.24,0.12
48,1,1,0.2,0.03
49,1,1,0.16,0.03
50,1,1,0.23,0.03
51,1,1,0.22,0.03
52,1,1,0.23,0.03
53,1,1,0.17,0.09
54,1,1,0.24,0.03
55,1,1,0.21,0.09
56,1,1,0.2,0.09
57,1,1,0.21,0.06
58,1,1,0.23,0.12
59,1,1,0.2,0.09
60,1,1,0.2,0.12
61,1,1,0.21,0.03
62,1,1,0.21,0.03
63,1,1,0.2,0.09
64,1,1,0.2,0.03
65,1,1,0.23,0.06
66,1,1,0.24,0.03
67,1,1,0.23,0.15
68,1,1,0.22,0.09
69,1,1,0.23,0.03
70,1,1,0.22,0.06
71,1,1,0.18,0.03
72,1,1,0.21,0.03
73,1,1,0.22,0.09
74,1,1,0.18,0.03
75,1,1,0.17,0.03
76,1,1,0.19,0.06
77,1,1,0.18,0.09
78,1,1,0.14,0.09
79,1,1,0.27,0.03
80,1,1,0.21,0.03
81,1,1,0.18,0.06
82,1,1,0.26,0.09
83,1,1,0.18,0.09
84,1,1,0.16,0.09
85,1,1,0.2,0.12
86,1,1,0.18,0.12
87,1,1,0.22,0.15
88,1,1,0.19,0.06
89,1,1,0.18,0.09
90,1,1,0.22,0.12
91,1,1,0.21,0.09
92,1,1,0.24,0.06
93,1,1,0.19,0.12
94,1,1,0.22,0.03
95,1,1,0.2,0.09
96,1,1,0.24,0.06
97,1,1,0.24,0.09
98,1,1,0.26,0.12
99,1,1,0.18,0.03
100,1,1,0.21,0.03
101,1,1,0.2,0.03
102,1,1,0.23,0.09
103,1,1,0.21,0.06
104,1,1,0.21,0.03
105,1,1,0.2,0.09
106,1,1,0.25,0.09
107,1,1,0.17,0.03
108,1,1,0.22,0.06
109,1,1,0.21,0.06
110,1,1,0.17,0.12
111,1,1,0.2,0.09
112,1,1,0.2,0.12
113,1,1,0.24,0.06
114,1,1,0.19,0.09
115,1,1,0.22,0.06
116,1,1,0.2,0.09
117,1,1,0.2,0.03
118,1,1,0.22,0.06
119,1,1,0.21,0.03
120,1,1,0.16,0.09
121,1,1,0.2,0.03
122,1,1,0.19,0.06
123,1,1,0.16,0.03
124,1,1,0.2,0.03
125,1,1,0.19,0.03
126,1,1,0.25,0.03
127,1,1,0.23,0.12
128,1,1,0.2,0.09
129,1,1,0.19,0.12
130,1,1,0.17,0.06
131,1,1,0.22,0.06
132,1,1,0.2,0.03
133,1,1,0.22,0.03
134,1,1,0.22,0.03
135,1,1,0.24,0.03
136,1,1,0.17,0.06
137,1,1,0.23,0.09
138,1,1,0.18,0.06
139,1,1,0.2,0.06
140,1,1,0.18,0.03
141,1,1,0.19,0.06
142,1,1,0.28,0.12
143,1,1,0.28,0.15
144,1,1,0.29,0.03
145,1,1,0.25,0.06
146,1,1,0.2,0.15
147,1,1,0.24,0.03
148,1,1,0.22,0.06
149,1,1,0.24,0.12
150,1,1,0.17,0.03
151,1,1,0.18,0.06
152,1,1,0.15,0.12
153,1,1,0.22,0.12
154,1,1,0.24,0.15
155,1,1,0.18,0.12
156,1,1,0.17,0.09
157,1,1,0.18,0.03
158,1,1,0.21,0.12
159,1,1,0.19,0.03
160,1,1,0.17,0.12
161,1,1,0.18,0.09
162,1,1,0.18,0.03
163,1,1,0.2,0.09
164,1,1,0.2,0.06
165,1,1,0.2,0.09
166,1,1,0.18,0.09
167,1,1,0.21,0.09
168,1,1,0.2,0.15
169,1,1,0.26,0.03
170,1,1,0.21,0.06
171,1,1,0.17,0.15
172,1,1,0.18,0.09
173,1,1,0.19,0.12
174,1,1,0.19,0.09
175,1,1,0.19,0.12
176,1,1,0.18,0.12
177,1,1,0.16,0.06
178,1,1,0.23,0.09
179,1,1,0.21,0.06
180,1,1,0.21,0.09
181,1,1,0.24,0.03
182,1,1,0.22,0.09
183,1,1,0.21,0.12
184,1,1,0.21,0.09
185,1,1,0.23,0.09
186,1,2,0.08,0.18
187,1,1,0.21,0.03
188,1,1,0.18,0.12
189,1,2,0.04,0.18
190,1,2,0.04,0.12
191,1,2,0.05,0.09
192,1,2,0.04,0.09
193,1,2,0.05,0.09
194,1,2,0.04,0.21
195,1,2,0.04,0.09
196,1,2,0.06,0.09
197,1,2,0.08,0.18
198,1,2,0.04,0.24
199,1,2,0.07,0.12
200,1,2,0.07,0.09
201,1,2,0.06,0.12
202,1,2,0.06,0.06
203,1,2,0.06,0.06
204,1,2,0.06,0.06
205,1,2,0.07,0.09
206,1,2,0.08,0.15
207,1,2,0.03,0.09
208,1,2,0.04,0.12
209,1,2,0.07,0.09
210,1,2,0.05,0.09
211,1,2,0.03,0.12
212,1,2,0.04,0.09
213,1,2,0.04,0.15
214,1,2,0.04,0.09
215,1,2,0.03,0.09
216,1,2,0.04,0.09
217,1,2,0.04,0.09
218,1,2,0.03,0.09
219,1,2,0.03,0.18
220,1,2,0.04,0.12
221,1,2,0.04,0.09
222,1,2,0.04,0.12
223,1,2,0.04,0.12
224,1,2,0.03,0.09
225,1,3,0.06,0.12
226,1,2,0.04,0.09
227,1,2,0.04,0.09
228,1,2,0.04,0.18
229,1,2,0.04,0.18
230,1,2,0.04,0.09
231,1,2,0.04,0.18
232,1,2,0.03,0.09
233,1,2,0.04,0.09
234,1,2,0.03,0.09
