time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/loss,train/n_updates,train/learning_rate
6382,-1293.75,2315.5,0.9120110000000001,1,4,9262,,,
6189,-1288.875,2310.625,0.8243925000000003,2,8,18485,,,
6384,-1287.3333333333333,2311.75,0.7364604999999999,4,12,27741,,,
6530,-1289.0625,2313.625,0.6483290000000002,5,16,37018,,,
6491,-1288.4,2312.7,0.5605869999999998,7,20,46254,,,
5020,-1294.2916666666667,2319.5833333333335,0.4711350000000001,11,24,55670,0.08723368495702744,1417,0.0001
3908,-1275.642857142857,2302.8928571428573,0.3874305,16,28,64481,0.07049009203910828,3620,0.0001
3324,-1262.96875,2293.65625,0.3027284999999996,22,32,73397,0.10382653772830963,5849,0.0001
2961,-1244.0,2291.1666666666665,0.21642100000000064,27,36,82482,0.07501570880413055,8120,0.0001
2707,-1219.85,2284.525,0.13188049999999962,33,40,91381,0.0879746824502945,10345,0.0001
2523,-1195.5227272727273,2278.5227272727275,0.05,39,44,100255,0.1288750320672989,12563,0.0001
2391,-1181.4375,2276.7708333333335,0.05,45,48,109285,0.07328593730926514,14821,0.0001
2290,-1162.8076923076924,2270.980769230769,0.05,51,52,118091,0.09887856245040894,17022,0.0001
2204,-1150.767857142857,2269.9285714285716,0.05,57,56,127116,0.12029135972261429,19278,0.0001
2134,-1139.5333333333333,2268.1,0.05,63,60,136086,0.09551600366830826,21521,0.0001
2079,-1128.46875,2267.078125,0.05,69,64,145093,0.09163621813058853,23773,0.0001
2026,-1116.6323529411766,2264.8676470588234,0.05,75,68,154011,0.11689195781946182,26002,0.0001
1985,-1106.1805555555557,2261.527777777778,0.05,82,72,162830,0.11551171541213989,28207,0.0001
1949,-1095.7894736842106,2259.6052631578946,0.05,88,76,171730,0.101102814078331,30432,0.0001
1918,-1086.375,2256.7375,0.05,94,80,180539,0.1333017349243164,32634,0.0001
1889,-1078.5238095238096,2255.154761904762,0.05,100,84,189433,0.10543134063482285,34858,0.0001
1865,-1072.4886363636363,2254.6136363636365,0.05,106,88,198406,0.1487659513950348,37101,0.0001
1844,-1065.9673913043478,2253.532608695652,0.05,112,92,207325,0.0947246253490448,39331,0.0001
1825,-1057.7395833333333,2252.3020833333335,0.05,118,96,216221,0.11384080350399017,41555,0.0001
1805,-1049.69,2250.72,0.05,124,100,225072,0.12192235887050629,43767,0.0001
1788,-1033.64,2248.32,0.05,130,104,234094,0.15758556127548218,46023,0.0001
1774,-1016.01,2245.09,0.05,136,108,242994,0.0787435919046402,48248,0.0001
1758,-997.13,2241.55,0.05,143,112,251896,0.08215360343456268,50473,0.0001
1745,-979.01,2237.06,0.05,149,116,260724,0.16395844519138336,52680,0.0001
1732,-959.83,2232.56,0.05,155,120,269510,0.09579455852508545,54877,0.0001
1721,-939.03,2228.68,0.05,161,124,278538,0.08369817584753036,57134,0.0001
1712,-926.74,2230.62,0.05,167,128,287543,0.11050188541412354,59385,0.0001
1700,-911.13,2229.28,0.05,174,132,296325,0.14237596094608307,61581,0.0001
1692,-898.76,2227.29,0.05,180,136,305211,0.09533815830945969,63802,0.0001
1684,-888.64,2224.51,0.05,186,140,313832,0.08079002052545547,65957,0.0001
1676,-879.81,2224.0,0.05,192,144,322655,0.13853363692760468,68163,0.0001
1669,-868.88,2221.94,0.05,198,148,331479,0.08829685300588608,70369,0.0001
1663,-861.07,2220.64,0.05,204,152,340155,0.11872884631156921,72538,0.0001
1654,-850.84,2217.98,0.05,210,156,348914,0.14562103152275085,74728,0.0001
1647,-841.63,2217.05,0.05,217,160,357791,0.12868070602416992,76947,0.0001
1638,-832.85,2215.29,0.05,223,164,366622,0.12693104147911072,79155,0.0001
1633,-824.86,2214.66,0.05,229,168,375477,0.10308227688074112,81369,0.0001
1628,-814.39,2214.75,0.05,235,172,384305,0.1292501538991928,83576,0.0001
1623,-805.14,2213.73,0.05,242,176,393103,0.12341734021902084,85775,0.0001
1617,-797.94,2213.69,0.05,248,180,401908,0.10201758146286011,87976,0.0001
1599,-788.31,2213.15,0.05,256,184,410748,0.1099577471613884,90186,0.0001
1589,-774.92,2210.96,0.05,263,188,419502,0.13399754464626312,92375,0.0001
1575,-762.53,2207.87,0.05,271,192,428112,0.09519980847835541,94527,0.0001
1568,-753.24,2205.16,0.05,278,196,436737,0.12808537483215332,96684,0.0001
1561,-743.07,2202.34,0.05,285,200,445306,0.12515458464622498,98826,0.0001
1556,-734.4,2199.59,0.05,291,204,454053,0.1553674042224884,101013,0.0001
1551,-726.41,2196.99,0.05,298,208,462693,0.07607004046440125,103173,0.0001
1546,-718.96,2194.85,0.05,304,212,471381,0.15659238398075104,105345,0.0001
1543,-711.61,2194.42,0.05,311,216,480166,0.09766677767038345,107541,0.0001
1541,-705.08,2194.63,0.05,317,220,488973,0.1433059424161911,109743,0.0001
1538,-698.54,2191.76,0.05,323,224,497714,0.13534992933273315,111928,0.0001
1537,-689.36,2187.36,0.05,329,228,506279,0.10591886937618256,114069,0.0001
1535,-683.67,2186.4,0.05,335,232,514965,0.12990522384643555,116241,0.0001
1534,-677.59,2184.6,0.05,341,236,523671,0.12313663959503174,118417,0.0001
1533,-672.09,2185.2,0.05,347,240,532352,0.1485646516084671,120587,0.0001
1532,-668.46,2184.77,0.05,353,244,541132,0.09231551736593246,122782,0.0001
1530,-663.34,2182.44,0.05,359,248,549723,0.14339783787727356,124930,0.0001
1529,-657.93,2181.35,0.05,365,252,558290,0.12034948915243149,127072,0.0001
1528,-652.08,2180.23,0.05,370,256,566937,0.11640629917383194,129234,0.0001
1527,-647.07,2178.95,0.05,376,260,575686,0.5531754493713379,131421,0.0001
1523,-640.88,2176.15,0.05,383,264,584237,0.08141425251960754,133559,0.0001
1521,-635.04,2172.91,0.05,389,268,592768,0.17981135845184326,135691,0.0001
1518,-630.92,2171.43,0.05,395,272,601448,0.1252974420785904,137861,0.0001
1514,-626.67,2170.09,0.05,402,276,610112,0.1362408846616745,140027,0.0001
1510,-620.78,2168.81,0.05,409,280,618789,0.1021452397108078,142197,0.0001
1504,-617.27,2168.22,0.05,416,284,627570,0.15625222027301788,144392,0.0001
1496,-617.47,2168.48,0.05,425,288,636350,0.13479475677013397,146587,0.0001
1493,-614.61,2168.67,0.05,431,292,644979,0.16524232923984528,148744,0.0001
1489,-612.32,2168.86,0.05,438,296,653623,0.12579913437366486,150905,0.0001
1488,-612.57,2170.33,0.05,444,300,662339,0.11885327100753784,153084,0.0001
1487,-608.7,2170.18,0.05,451,304,671071,0.1396353542804718,155267,0.0001
1483,-604.77,2169.34,0.05,458,308,679627,0.17713187634944916,157406,0.0001
1482,-601.74,2168.6,0.05,464,312,688241,0.11261559277772903,159560,0.0001
1481,-597.95,2167.3,0.05,470,316,696896,0.1111149713397026,161723,0.0001
1480,-593.47,2165.44,0.05,476,320,705517,0.08154910057783127,163879,0.0001
1479,-589.61,2165.15,0.05,482,324,714229,0.16243499517440796,166057,0.0001
1478,-585.92,2166.21,0.05,488,328,722900,0.13702839612960815,168224,0.0001
1478,-580.8,2166.41,0.05,494,332,731606,0.10708382725715637,170401,0.0001
1477,-577.84,2166.77,0.05,500,336,740348,0.18698041141033173,172586,0.0001
1477,-572.98,2165.44,0.05,506,340,748896,0.13527677953243256,174723,0.0001
1476,-569.56,2164.54,0.05,513,344,757586,0.1339154690504074,176896,0.0001
1475,-565.99,2164.62,0.05,519,348,766185,0.10508926212787628,179046,0.0001
1475,-564.15,2166.46,0.05,525,352,774936,0.09606041759252548,181233,0.0001
1474,-560.98,2166.18,0.05,531,356,783555,0.21013502776622772,183388,0.0001
1473,-556.92,2166.24,0.05,537,360,792310,0.1529235541820526,185577,0.0001
1470,-554.07,2168.23,0.05,544,364,801060,0.11130642890930176,187764,0.0001
1470,-552.13,2169.6,0.05,550,368,809728,0.12813374400138855,189931,0.0001
1468,-549.57,2169.24,0.05,557,372,818372,0.15755312144756317,192092,0.0001
1468,-547.66,2168.54,0.05,563,376,826966,0.14333666861057281,194241,0.0001
1466,-544.83,2168.65,0.05,569,380,835654,0.11776977777481079,196413,0.0001
1465,-539.91,2166.34,0.05,575,384,844204,0.13251766562461853,198550,0.0001
1465,-535.7,2164.72,0.05,582,388,852822,0.16763725876808167,200705,0.0001
1464,-534.5,2165.28,0.05,588,392,861507,0.13497543334960938,202876,0.0001
1464,-530.6,2165.24,0.05,594,396,870147,0.12229692935943604,205036,0.0001
1463,-524.7,2163.91,0.05,600,400,878730,0.15536893904209137,207182,0.0001
1463,-520.98,2162.42,0.05,606,404,887313,0.1073194146156311,209328,0.0001
1463,-518.55,2163.26,0.05,612,408,895953,0.12561453878879547,211488,0.0001
1462,-515.89,2162.66,0.05,618,412,904507,0.15548141300678253,213626,0.0001
1462,-513.73,2164.25,0.05,624,416,913321,0.10127969086170197,215830,0.0001
1461,-511.28,2164.1,0.05,630,420,921927,0.09354022890329361,217981,0.0001
1458,-508.05,2162.97,0.05,638,424,930526,0.10919877141714096,220131,0.0001
1457,-503.75,2162.56,0.05,644,428,939156,0.21109065413475037,222288,0.0001
1458,-501.72,2162.44,0.05,649,432,947850,0.139093279838562,224462,0.0001
1460,-498.32,2161.15,0.05,654,436,956463,0.13738609850406647,226615,0.0001
1462,-496.68,2162.73,0.05,659,440,965169,0.14614571630954742,228792,0.0001
1463,-492.26,2161.99,0.05,665,444,973785,0.08667024970054626,230946,0.0001
1462,-488.0,2162.65,0.05,671,448,982450,0.2043868601322174,233112,0.0001
1460,-481.76,2160.38,0.05,678,452,990974,0.12939050793647766,235243,0.0001
1462,-478.7,2159.82,0.05,683,456,999537,0.16481448709964752,237384,0.0001
