rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
0.05,156,341,-616.6074,347840,1017,2214.42,0.020453285425901413,0.0001,74459
0.05,160,353,-608.3166,356694,1010,2213.81,0.028674252331256866,0.0001,76673
0.05,164,364,-601.3636,365663,1004,2214.18,0.020478976890444756,0.0001,78915
0.05,168,375,-594.81,374455,997,2214.24,0.23835423588752747,0.0001,81113
0.05,172,387,-588.3747,383231,989,2212.73,0.017983993515372276,0.0001,83307
0.05,176,398,-581.2815,392128,984,2212.05,0.03198026493191719,0.0001,85531
0.05,180,409,-575.4679,400914,978,2209.77,0.01794172264635563,0.0001,87728
0.05,184,421,-568.0865,409670,972,2208.02,0.02117333561182022,0.0001,89917
0.05,188,432,-562.1313,418423,967,2205.85,0.022286731749773026,0.0001,92105
0.05,192,443,-557.5106,427273,963,2206.12,0.022810084745287895,0.0001,94318
0.05,196,454,-553.0676,436025,959,2205.76,0.02396260015666485,0.0001,96506
0.05,200,465,-547.32,444649,955,2204.34,0.020093273371458054,0.0001,98662
0.05,204,476,-542.5455999999999,453385,952,2203.68,0.031133119016885757,0.0001,100846
0.05,208,487,-538.6293999999999,462246,948,2202.13,0.02690630778670311,0.0001,103061
0.05,212,498,-534.9622999999999,471120,945,2200.88,0.033924274146556854,0.0001,105279
0.05,216,509,-530.6502,479864,942,2200.2,0.02294756844639778,0.0001,107465
0.05,220,520,-527.4226,488764,939,2201.38,0.017733687534928322,0.0001,109690
0.05,224,531,-521.211,497404,936,2198.11,0.0258780550211668,0.0001,111850
0.05,228,541,-517.7274000000001,506129,934,2198.19,0.02293475903570652,0.0001,114032
0.05,232,552,-513.6593,514810,932,2198.31,0.018009020015597343,0.0001,116202
0.05,236,563,-509.869,523576,929,2197.6,0.03014657273888588,0.0001,118393
0.05,240,573,-508.7371,532442,927,2198.99,0.02705632708966732,0.0001,120610
0.05,244,584,-505.48710000000005,541111,925,2197.38,0.03764420747756958,0.0001,122777
0.05,248,595,-506.29630000000003,550041,924,2199.39,0.022509969770908356,0.0001,125010
0.05,252,605,-503.744,558772,922,2198.06,0.031999941915273666,0.0001,127192
0.05,256,616,-500.0911000000001,567376,921,2195.36,0.02052179165184498,0.0001,129343
0.05,260,626,-497.75490000000013,576139,919,2194.45,0.023869048804044724,0.0001,131534
0.05,264,636,-494.86549999999994,584728,918,2190.65,0.0200478658080101,0.0001,133681
0.05,268,647,-492.08700000000005,593332,916,2188.77,0.036788616329431534,0.0001,135832
0.05,272,658,-490.5521999999999,602212,914,2189.81,0.03822494298219681,0.0001,138052
0.05,276,668,-490.3855,611032,913,2189.04,0.028259415179491043,0.0001,140257
0.05,280,679,-487.9619,619728,912,2188.14,0.01707911118865013,0.0001,142431
0.05,284,689,-486.4406000000001,628355,911,2186.85,0.06792549788951874,0.0001,144588
0.05,288,700,-484.16900000000004,637119,909,2186.96,0.37715375423431396,0.0001,146779
0.05,292,710,-482.0905,645847,908,2185.74,0.030953291803598404,0.0001,148961
0.05,296,721,-481.81230000000005,654788,907,2187.63,0.05829343944787979,0.0001,151196
0.05,300,732,-483.6598,663719,906,2190.7,0.030428029596805573,0.0001,153429
0.05,304,743,-481.7688999999999,672364,904,2189.79,0.03883706405758858,0.0001,155590
0.05,308,753,-479.6613,681137,903,2188.91,0.035116683691740036,0.0001,157784
0.05,312,764,-477.62179999999995,689978,902,2188.58,0.3415606915950775,0.0001,159994
0.05,316,774,-477.06249999999983,698679,901,2188.15,0.024646123871207237,0.0001,162169
0.05,320,785,-474.8976,707278,900,2185.14,0.053007643669843674,0.0001,164319
0.05,324,795,-474.6391,715971,899,2185.67,0.04267309606075287,0.0001,166492
0.05,328,806,-473.72589999999997,724700,898,2185.71,0.07082287222146988,0.0001,168674
0.05,332,817,-473.67829999999987,733511,897,2187.01,0.06032632291316986,0.0001,170877
