time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/exploration_rate,time/episodes
273,-1224.7875,2310.5,33,9242,0.9122010000000003,4
564,-1218.1475,2307.875,32,18463,0.8246015,8
