rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate,train/n_updates,train/loss
-898.19,2,9157,0.9710028333333335,2289.25,4,3997,,,
-905.71875,4,18445,0.9415908333333336,2305.625,8,4069,,,
-893.4108333333335,6,27588,0.9126380000000002,2299.0,12,4097,,,
-891.3331250000001,8,36844,0.883327333333333,2302.75,16,4123,,,
-893.695,11,46114,0.8539723333333338,2305.7,20,4106,,,
-891.735,17,55246,0.8250543333333333,2301.9166666666665,24,3111,0.0001,1311,0.02109021693468094
-883.6578571428571,26,64175,0.7967791666666664,2291.964285714286,28,2436,0.0001,3543,0.015609717927873135
-876.14625,35,73150,0.7683583333333336,2285.9375,32,2081,0.0001,5787,0.020581185817718506
-868.9375,44,82283,0.739437166666667,2285.6388888888887,36,1855,0.0001,8070,0.03047778829932213
-861.7647499999999,53,91227,0.7111144999999999,2280.675,40,1705,0.0001,10306,0.012837527319788933
-856.4463636363636,62,100323,0.6823104999999995,2280.068181818182,44,1592,0.0001,12580,0.018309075385332108
-845.3458333333334,72,109149,0.6543614999999996,2273.9375,48,1503,0.0001,14787,0.02071693353354931
-836.313076923077,82,118159,0.6258298333333336,2272.2884615384614,52,1437,0.0001,17039,0.014871954917907715
-829.2900000000001,91,127163,0.5973171666666662,2270.7678571428573,56,1384,0.0001,19290,0.011987331323325634
-821.5108333333335,101,136091,0.5690451666666665,2268.1833333333334,60,1341,0.0001,21522,0.01190798170864582
-811.6053125,110,144771,0.5415585,2262.046875,64,1307,0.0001,23692,0.017139432951807976
-805.8601470588234,120,153776,0.5130426666666666,2261.4117647058824,68,1276,0.0001,25943,0.010782030411064625
-797.9665277777777,129,162662,0.4849036666666664,2259.1944444444443,72,1251,0.0001,28165,0.006600869353860617
-791.6997368421052,139,171519,0.4568564999999998,2256.8289473684213,76,1229,0.0001,30379,0.015134981833398342
-784.5730000000001,149,180332,0.428948666666667,2254.15,80,1210,0.0001,32582,0.019254954531788826
-777.2770238095238,158,189102,0.4011769999999998,2251.214285714286,84,1192,0.0001,34775,0.016818292438983917
-769.9442045454545,168,197830,0.3735383333333332,2248.068181818182,88,1176,0.0001,36957,0.010711674578487873
-763.5539130434784,177,206746,0.34530433333333344,2247.2391304347825,92,1161,0.0001,39186,0.012185993604362011
-757.6584374999999,187,215622,0.3171970000000002,2246.0625,96,1148,0.0001,41405,0.015197765082120895
-752.0256999999999,197,224479,0.28914983333333355,2244.79,100,1135,0.0001,43619,0.022701438516378403
-741.2865999999999,207,233383,0.2609538333333338,2242.26,104,1123,0.0001,45845,0.01907869055867195
-728.66,217,242232,0.2329319999999997,2237.87,108,1112,0.0001,48057,0.015907322987914085
-717.5920000000001,227,251201,0.20453016666666646,2236.13,112,1102,0.0001,50300,0.021295471116900444
-705.0145000000001,237,260031,0.17656850000000002,2231.87,116,1092,0.0001,52507,0.025113685056567192
-690.8882000000001,248,268795,0.14881583333333337,2226.81,120,1083,0.0001,54698,0.01801563799381256
-678.1734,258,277663,0.12073383333333376,2224.17,124,1075,0.0001,56915,0.013641290366649628
-667.7567,268,286545,0.09260749999999995,2223.7,128,1066,0.0001,59136,0.020188098773360252
-656.9987999999998,279,295377,0.06463950000000052,2222.27,132,1058,0.0001,61344,0.023907046765089035
-646.9689,289,304384,0.05,2221.01,136,1051,0.0001,63595,0.016156665980815887
-635.4592,299,313168,0.05,2219.41,140,1044,0.0001,65791,0.02721732296049595
-624.4452,310,321964,0.05,2216.41,144,1037,0.0001,67990,0.014454260468482971
-617.3318,321,330817,0.05,2216.68,148,1029,0.0001,70204,0.019476693123579025
-608.5182,331,339489,0.05,2213.3,152,1022,0.0001,72372,0.015544002875685692
-599.228,342,348321,0.05,2211.58,156,1016,0.0001,74580,0.020539266988635063
-591.1406,353,357099,0.05,2210.08,160,1009,0.0001,76774,0.04027969017624855
-584.6762,364,365884,0.05,2211.13,164,1003,0.0001,78970,0.019316665828227997
-577.3409,376,374708,0.05,2209.32,168,994,0.0001,81176,0.022841256111860275
-571.1573000000001,387,383506,0.05,2208.44,172,988,0.0001,83376,0.01625909097492695
-564.0298,398,392301,0.05,2207.82,176,983,0.0001,85575,0.022796280682086945
-556.2187,410,401078,0.05,2207.46,180,977,0.0001,87769,0.021262142807245255
-550.0963,421,409793,0.05,2206.91,184,972,0.0001,89948,0.02079739421606064
-544.4446,432,418519,0.05,2206.89,188,967,0.0001,92129,0.023161645978689194
-538.9990999999999,443,427324,0.05,2205.78,192,962,0.0001,94330,0.019350513815879822
-534.1687999999999,454,436107,0.05,2204.85,196,958,0.0001,96526,0.02569493278861046
-529.2757,465,444983,0.05,2205.04,200,955,0.0001,98745,0.019330907613039017
-524.408,476,453906,0.05,2205.23,204,951,0.0001,100976,0.0474776029586792
-520.0516,487,462676,0.05,2204.44,208,948,0.0001,103168,0.033696893602609634
